lat,lon,country,state,elevation,region,is_near_boundary
-1.5912500000000005,-80.80375,Ecuador,Manabí,230.0,Manabí,True
-1.5929166666666674,-75.67041666666667,Ecuador,Pastaza,180.0,Pastaza,True
-1.5937500000000009,-78.93708333333333,Ecuador,Bolívar,3363.0,Bolívar,True
-1.5937500000000009,-75.60375,Perú,Loreto,183.0,Perú,True
-1.5945833333333344,-78.87041666666667,Ecuador,Chimborazo,3723.0,Chimborazo,True
-1.5954166666666678,-78.80375,Ecuador,Chimborazo,3553.0,Chimborazo,True
-1.5979166666666673,-80.27041666666666,Ecuador,Guayas,111.0,Guayas,True
-1.5987500000000008,-80.20375,Ecuador,Guayas,49.0,Guayas,True
-1.6004166666666677,-78.40375,Ecuador,Chimborazo,3484.0,Chimborazo,True
-1.6012500000000012,-78.33708333333334,Ecuador,Morona Santiago,3396.0,Morona Santiago,True
-1.6029166666666672,-79.87041666666667,Ecuador,Los Ríos,11.0,Los Ríos,True
-1.6037500000000007,-79.80375,Ecuador,Los Ríos,13.0,Los Ríos,True
-1.6045833333333341,-78.07041666666666,Ecuador,Morona Santiago,1160.0,Morona Santiago,True
-1.6054166666666676,-78.00375,Ecuador,Pastaza,869.0,Pastaza,True
-1.606250000000001,-77.93708333333333,Ecuador,Pastaza,865.0,Pastaza,True
-1.609583333333334,-79.33708333333334,Ecuador,Los Ríos,158.0,Los Ríos,True
-1.6104166666666675,-79.27041666666666,Ecuador,Los Ríos,433.0,Los Ríos,True
-1.611250000000001,-80.87041666666667,Ecuador,NA,0.0,Ecuador (NA),True
-1.6120833333333344,-80.80375,Ecuador,Manabí,192.0,Manabí,True
-1.6137500000000005,-75.67041666666667,Ecuador,Pastaza,188.0,Pastaza,True
-1.614583333333334,-78.93708333333333,Ecuador,Bolívar,3009.0,Bolívar,True
-1.614583333333334,-75.60375,Perú,Loreto,194.0,Perú,True
-1.6154166666666674,-78.87041666666667,Ecuador,Bolívar,3759.0,Bolívar,True
-1.6162500000000009,-78.80375,Ecuador,Chimborazo,3370.0,Chimborazo,True
-1.6187500000000004,-80.27041666666666,Ecuador,Manabí,221.0,Manabí,True
-1.6195833333333338,-80.20375,Ecuador,Guayas,118.0,Guayas,True
-1.6212500000000007,-78.40375,Ecuador,Chimborazo,3821.0,Chimborazo,True
-1.6220833333333342,-78.33708333333334,Ecuador,Morona Santiago,3446.0,Morona Santiago,True
-1.6237500000000011,-79.87041666666667,Ecuador,Guayas,14.0,Guayas,True
-1.6245833333333337,-79.80375,Ecuador,Los Ríos,17.0,Los Ríos,True
-1.6254166666666672,-78.07041666666666,Ecuador,Morona Santiago,982.0,Morona Santiago,True
-1.6262500000000006,-78.00375,Ecuador,Pastaza,865.0,Pastaza,True
-1.627083333333334,-77.93708333333333,Ecuador,Pastaza,838.0,Pastaza,True
-1.630416666666667,-79.33708333333334,Ecuador,Bolívar,169.0,Bolívar,True
-1.6312500000000005,-79.27041666666666,Ecuador,Bolívar,316.0,Bolívar,True
-1.6329166666666675,-80.80375,Ecuador,Manabí,91.0,Manabí,True
-1.633750000000001,-80.73708333333333,Ecuador,Manabí,210.0,Manabí,True
-1.6345833333333344,-80.67041666666667,Ecuador,Manabí,507.0,Manabí,True
-1.6345833333333344,-75.67041666666667,Ecuador,Pastaza,215.0,Pastaza,True
-1.6362500000000004,-78.87041666666667,Ecuador,Bolívar,4088.0,Bolívar,True
-1.637083333333334,-78.80375,Ecuador,Chimborazo,3603.0,Chimborazo,True
-1.6395833333333343,-80.27041666666666,Ecuador,Manabí,96.0,Manabí,True
-1.6404166666666677,-80.20375,Ecuador,Guayas,127.0,Guayas,True
-1.6420833333333338,-78.40375,Ecuador,Chimborazo,3801.0,Chimborazo,True
-1.6429166666666672,-78.33708333333334,Ecuador,Morona Santiago,3400.0,Morona Santiago,True
-1.6445833333333342,-79.87041666666667,Ecuador,Guayas,11.0,Guayas,True
-1.6454166666666676,-79.80375,Ecuador,Los Ríos,14.0,Los Ríos,True
-1.646250000000001,-78.07041666666666,Ecuador,Morona Santiago,951.0,Morona Santiago,True
-1.6470833333333337,-78.00375,Ecuador,Pastaza,850.0,Pastaza,True
-1.6479166666666671,-77.93708333333333,Ecuador,Pastaza,800.0,Pastaza,True
-1.6487500000000006,-77.87041666666667,Ecuador,Pastaza,928.0,Pastaza,True
-1.651250000000001,-79.33708333333334,Ecuador,Los Ríos,448.0,Los Ríos,True
-1.6520833333333345,-79.27041666666666,Ecuador,Bolívar,436.0,Bolívar,True
-1.652916666666667,-79.20375,Ecuador,Bolívar,981.0,Bolívar,True
-1.6537500000000005,-80.80375,Ecuador,Manabí,130.0,Manabí,True
-1.654583333333334,-80.73708333333333,Ecuador,Manabí,197.0,Manabí,True
-1.654583333333334,-75.73708333333333,Ecuador,Pastaza,191.0,Pastaza,True
-1.6554166666666674,-80.67041666666667,Ecuador,Manabí,531.0,Manabí,True
-1.6554166666666674,-75.67041666666667,Ecuador,Pastaza,219.0,Pastaza,True
-1.6570833333333344,-78.87041666666667,Ecuador,Bolívar,3961.0,Bolívar,True
-1.6579166666666678,-78.80375,Ecuador,Chimborazo,3780.0,Chimborazo,True
-1.6595833333333339,-80.33708333333334,Ecuador,Manabí,217.0,Manabí,True
-1.6604166666666673,-80.27041666666666,Ecuador,Manabí,126.0,Manabí,True
-1.6612500000000008,-80.20375,Ecuador,Guayas,194.0,Guayas,True
-1.6620833333333342,-78.47041666666667,Ecuador,Chimborazo,3636.0,Chimborazo,True
-1.6629166666666677,-78.40375,Ecuador,Chimborazo,4882.0,Chimborazo,True
-1.6637500000000012,-78.33708333333334,Ecuador,Morona Santiago,4053.0,Morona Santiago,True
-1.6654166666666672,-79.87041666666667,Ecuador,Guayas,13.0,Guayas,True
-1.6662500000000007,-79.80375,Ecuador,Los Ríos,9.0,Los Ríos,True
-1.6670833333333341,-78.07041666666666,Ecuador,Morona Santiago,900.0,Morona Santiago,True
-1.6679166666666676,-78.00375,Ecuador,Pastaza,841.0,Pastaza,True
-1.668750000000001,-77.93708333333333,Ecuador,Morona Santiago,796.0,Morona Santiago,True
-1.6695833333333336,-77.87041666666667,Ecuador,Pastaza,914.0,Pastaza,True
-1.672083333333334,-79.33708333333334,Ecuador,Los Ríos,384.0,Los Ríos,True
-1.6729166666666675,-79.27041666666666,Ecuador,Los Ríos,373.0,Los Ríos,True
-1.673750000000001,-79.20375,Ecuador,Bolívar,1233.0,Bolívar,True
-1.6745833333333344,-80.80375,Ecuador,Manabí,9.0,Manabí,True
-1.675416666666667,-80.73708333333333,Ecuador,Manabí,148.0,Manabí,True
-1.675416666666667,-75.73708333333333,Ecuador,Pastaza,213.0,Pastaza,True
-1.6762500000000005,-80.67041666666667,Ecuador,Manabí,138.0,Manabí,True
-1.6762500000000005,-75.67041666666667,Perú,Loreto,217.0,Perú,True
